x,y,elevation,label
318200.1927,77949.45175,71.103943,land
318201.193,77949.45175,71.119537,land
318202.1933,77949.45175,71.185722,land
318203.1935,77949.45175,71.285835,land
318204.1938,77949.45175,71.340775,land
318205.1941,77949.45175,71.429131,land
318206.1943,77949.45175,71.41246,land
318207.1946,77949.45175,71.357887,land
318208.1949,77949.45175,71.378159,land
318209.1951,77949.45175,71.462784,land
318210.1954,77949.45175,71.556435,land
318211.1956,77949.45175,71.598961,land
318212.1959,77949.45175,71.580322,land
318213.1962,77949.45175,71.594872,land
318214.1964,77949.45175,71.618263,land
318215.1967,77949.45175,71.649597,land
318216.197,77949.45175,71.676064,land
318217.1972,77949.45175,71.687843,land
318218.1975,77949.45175,71.706909,land
318219.1977,77949.45175,71.683784,land
318220.198,77949.45175,71.730682,land
318221.1983,77949.45175,71.818382,land
318222.1985,77949.45175,71.887299,land
318223.1988,77949.45175,71.855675,land
318224.1991,77949.45175,71.867996,land
318225.1993,77949.45175,72.011154,land
318226.1996,77949.45175,72.196014,land
318227.1999,77949.45175,72.283615,land
318228.2001,77949.45175,72.292183,land
318229.2004,77949.45175,72.340378,land
318230.2006,77949.45175,72.331337,land
318231.2009,77949.45175,72.282196,land
318232.2012,77949.45175,72.300552,land
318233.2014,77949.45175,72.283829,land
318234.2017,77949.45175,72.258217,land
318235.202,77949.45175,72.319366,land
